Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
MOS,KET,8.760000000000002,2,0.010497850040311741,0.010457551
MOS,KOB,7.2,1,0.0148720999405116,0.014847696
MOS,KOT,5.039999999999999,1,0.027411078461470992,0.027540306
MOS,KOW,11.84,1,0.006065546724119525,0.006108572
MOS,KSR,10.62,0,0.0074060688290412706,0.0073381285
MOS,KWF,9.899999999999999,2,0.008416799932665602,0.008278327
MOS,KWH,9.969999999999999,2,0.008309726784493054,0.008278327
MOS,KWT,7.460000000000001,1,0.01397202242230158,0.013973822
MOS,LAK,9.78,2,0.008605229914532858,0.008799443
MOS,LAT,7.5600000000000005,1,0.01364748012926893,0.013723413
MOS,LCK,9.56,2,0.008967516069788796,0.008799443
MOS,LET,10.26,2,0.007887206635349198,0.00793572
MOS,LHP,10.950000000000003,2,0.007002678524535632,0.0069366577
MOS,LMC,5.72,1,0.022144274376417236,0.022237107
MOS,LOF,7.16,1,0.015018262206843522,0.01495707
MOS,LOP,11.04,0,0.00689837860509266,0.0069366577
MOS,LOW,5.74,1,0.022013049335646167,0.022237107
MOS,MEF,9.66,2,0.008800059136397398,0.008799443
